# input | replacement | language
# Longest valid match wins. Word boundaries are enforced for word-like edges.

# Lettered list labels
MB/s | megabytes per second | english
GB/s | gigabytes per second | english
TB/s | terabytes per second | english
Kbps | kilobits per second | english
Mbps | megabits per second | english
Gbps | gigabits per second | english
Tbps | terabits per second | english
KiB | kibibytes | english
MiB | mebibytes | english
GiB | gibibytes | english
TiB | tebibytes | english
KB | kilobytes | english
MB | megabytes | english
GB | gigabytes | english
TB | terabytes | english
PB | petabytes | english
Kb | kilobits | english
Mb | megabits | english
Gb | gigabits | english
Tb | terabits | english

# Distance, size, weight, electricity and hardware
km/hr | kilometers per hour | english
km/h | kilometers per hour | english
kph | kilometers per hour | english
mph | miles per hour | english
m/s | meters per second | english
m² | square meters | english
m2 | square meters | english
km² | square kilometers | english
km2 | square kilometers | english
cm² | square centimeters | english
ft² | square feet | english
ft2 | square feet | english
sq. ft. | square feet | english
sq ft | square feet | english
sq. m. | square meters | english
sq m | square meters | english
mm | millimeters | english
cm | centimeters | english
km | kilometers | english
mg | milligrams | english
kg | kilograms | english
oz | ounces | english
lbs | pounds | english
lb | pounds | english
mV | millivolts | english
kV | kilovolts | english
mA | milliamps | english
kA | kiloamps | english
mAh | milliamp hours | english
Ah | amp hours | english
mW | milliwatts | english
kW | kilowatts | english
MW | megawatts | english
Wh | watt hours | english
kWh | kilowatt hours | english
MHz | megahertz | english
GHz | gigahertz | english
THz | terahertz | english
kHz | kilohertz | english
Hz | hertz | english
rpm | R P M | english
RPM | R P M | english
fps | frames per second | english
FPS | frames per second | english

# Temperature, percentage and time
°C | degrees Celsius | english
ºC | degrees Celsius | english
°F | degrees Fahrenheit | english
ºF | degrees Fahrenheit | english
°K | degrees Kelvin | english
% | percent | english
pct. | percent | english
pct | percent | english
a.m. | A M | english
p.m. | P M | english
AM | A M | english
PM | P M | english
UTC | U T C | english
GMT | G M T | english
EST | E S T | english
EDT | E D T | english
CST | C S T | english
CDT | C D T | english
MST | M S T | english
MDT | M D T | english
PST | P S T | english
PDT | P D T | english
sec. | seconds | english
secs | seconds | english
mins | minutes | english
hrs | hours | english
hr | hour | english

# Web and internet
www. | W W W dot | english
.co.uk | dot co dot U K | english
.co.th | dot co dot T H | english
.com | dot com | english
.net | dot net | english
.org | dot org | english
.io | dot I O | english
.ai | dot A I | english
.co | dot co | english
.edu | dot E D U | english
.gov | dot gov | english
.uk | dot U K | english
.us | dot U S | english
.ca | dot C A | english
.au | dot A U | english
.th | dot T H | english

# Conversational shorthand
lol | laugh out loud | english
LOL | laugh out loud | english
omg | oh my god | english
OMG | oh my god | english
idk | I don't know | english
IDK | I don't know | english
ikr | I know right | english
IKR | I know right | english
brb | be right back | english
BRB | be right back | english
ttyl | talk to you later | english
TTYL | talk to you later | english
rn | right now | english
IRL | in real life | english
irl | in real life | english
DMs | D Ms | english
DM | D M | english

# Ordinals
1st | first | english
2nd | second | english
3rd | third | english
4th | fourth | english
5th | fifth | english
6th | sixth | english
7th | seventh | english
8th | eighth | english
9th | ninth | english
10th | tenth | english
11th | eleventh | english
12th | twelfth | english
13th | thirteenth | english
14th | fourteenth | english
15th | fifteenth | english
16th | sixteenth | english
17th | seventeenth | english
18th | eighteenth | english
19th | nineteenth | english
20th | twentieth | english
21st | twenty first | english
22nd | twenty second | english
23rd | twenty third | english
24th | twenty fourth | english
25th | twenty fifth | english
26th | twenty sixth | english
27th | twenty seventh | english
28th | twenty eighth | english
29th | twenty ninth | english
30th | thirtieth | english
31st | thirty first | english

# Unicode typography cleanup
… | ... | english
– | - | english
— | - | english
− | - | english
“ | " | english
” | " | english
„ | " | english
‘ | ' | english
’ | ' | english
• | , | english
· | , | english
‧ | , | english
© | copyright | english
® | registered | english
™ | trademark | english
№ | number | english
